round,player_id,name,positions,price,score,break_even
3,504326,Toby Rudolf,2,327000,28,33
3,509634,Tolutau Koula,5,549000,,38
3,100004781,Tom Chester,6/5,351000,23,-33
3,506424,Tom Dearden,4,622000,48,58
3,506156,Tom Gilbert,2,508000,48,33
3,504072,Tom Starling,1,567000,22,48
3,501505,Tom Trbojevic,6,648000,,26
3,509635,Toni Mataele,3,250000,,
3,100004168,Tony Sukkar,3,276000,,
3,508480,Trai Fuller,6,507000,,75
3,100001560,Trent Loiero,2,619000,56,
3,508341,Trent Toelau,4,250000,,
3,507915,Trey Mooney,2,526000,29,2
3,504376,Tristan Hope,1,250000,13,
3,500901,Tui Kamikamica,2,277000,21,8
3,510935,Tukimihia Simpkins,2,260000,11,11
3,507680,Tyran Wishart,4,403000,26,34
3,509484,Tyrell Sloan,6,359000,,
3,500622,Tyson Frizell,2,470000,36,40
3,508479,Tyson Gamble,4,403000,47,
3,500845,Valentine Holmes,5,606000,51,60
3,503920,Victor Radley,2/3,499000,,
3,500408,Viliame Kikau,3,655000,28,27
3,504123,Wayde Egan,1,541000,39,64
3,507922,Will Penisini,5,420000,,29
3,100010997,Will Warbrick,6,457000,28,12
3,100006651,William Craig,6,230000,,
3,504279,William Kennedy,6,427000,22,34
3,100006754,Wilson De Courcey,5,230000,,
3,510220,Xavier Savage,6,373000,33,1
3,100004833,Xavier Willison,2/3,436000,21,46
3,505985,Zac Hosking,3,607000,34,68
3,510612,Zac Laybutt,5,373000,,
3,500889,Zach Dockar-Clay,1,347000,,
3,100011050,Zane Harrison,4,230000,,
4,506259,AJ Brimson,4/6,486000,29,55
4,505811,Adam Doueihi,4,628000,75,16
4,500128,Adam Elliott,2,538000,,
4,508026,Adam Pompey,5,393000,7,34
4,500086,Adam Reynolds,4,591000,46,58
4,500449,Addin Fonua-Blake,2,637000,44,57
4,100007566,Alec MacDonald,2,323000,30,39
4,500108,Alex Johnston,6,469000,,32
4,504609,Alex Seyfarth,2/3,443000,17,73
4,502532,Alex Twal,2,605000,78,24
4,100006296,Ali Leiataua,5,384000,,14
4,100001619,Alofiana Khan-Pereira,6,407000,,
4,503240,Angus Crichton,3,598000,38,59
4,100009124,Angus Hinchey,3,230000,,30
4,500109,Apisai Koroisau,1,549000,49,57
4,100009453,Arama Hau,3,352000,87,-18
4,100006239,Ashton Ward,4,381000,,45
4,100004109,Ata Mariota,2,353000,26,35
4,100010528,Ativalu Lisati,3,427000,,-42
4,508071,Aublix Tawha,2,352000,20,56
4,505864,Bailey Hayward,1/2,401000,23,20
4,504411,Bailey Simonsson,6,431000,46,42
4,506314,Beau Fermor,3,652000,31,58
4,500257,Ben Hunt,4,449000,16,35
4,504573,Ben Talty,2,281000,30,34
4,507850,Ben Trbojevic,3,520000,49,28
4,100007527,Benaiah Ioelu,1,342000,,22
4,505413,Billy Burns,3,426000,44,34
4,100008487,Billy Phillips,3,280000,35,12
4,509128,Billy Smith,5,423000,13,21
4,100006848,Blaize Talagi,4,465000,27,18
4,503440,Blake Lawrie,2,336000,51,24
4,100009156,Blake Mozer,1,250000,,
4,100006533,Blake Steep,2/3,375000,,48
4,506375,Blake Wilson,6,250000,,
4,504274,Blayke Brailey,1,723000,51,33
4,100002660,Brad Schneider,4,364000,2,21
4,500213,Braden Hamlin-Uele,2,318000,15,36
4,506682,Bradman Best,5,551000,43,54
4,506040,Braidon Burns,6,553000,68,50
4,503419,Brandon Smith,1/2,300000,,
4,504307,Brandon Wakeham,4/1,341000,11,33
4,504321,Braydon Trindall,4,499000,53,9
4,510228,Brendan Piakura,3,312000,23,23
4,506618,Brent Woolf,1,230000,,20
4,500872,Brian Kelly,5,500000,60,42
4,505410,Brian To'o,6,499000,8,50
