player_id,name,games_played,start_price,current_price,exact_price_r9,recent_s1,recent_s2,recent_s3,consistency,last_3_tog_avg,proj_score_fc,break_even_fc,proj_price_r10,be_r10,be_pct_r10,proj_score_r10,proj_price_r11,be_r11,be_pct_r11,proj_score_r11,proj_price_r12,be_r12,be_pct_r12,proj_score_r12,score_r8,score_r9,price_r7,price_r8,price_r9,delta_r9_to_r10,delta_r10_to_r11,delta_r11_to_r12,score_vs_be_r10,implied_ppp_r10
508307,Peter Hola,1,250000,232000,232000,4,,,20,13,8,30,232000,30,1,8,208926,35,1,7,183693,BYE,BYE,0,,,250000,232000,232000,0,-23074,-25233,-22,-0.0
100013762,Alekolasimi Jones,1,232000,232000,232000,21,,,0,29,24,16,237253,16,19,24,240144,12,10,24,250739,9,5,24,,21,,,230000,5253,2891,10595,8,656.62
506618,Brent Woolf,1,230000,230000,230000,15,,,0,25,22,23,230000,23,46,22,231826,20,41,22,237333,17,29,22,,,230000,230000,230000,0,1826,5507,-1,-0.0
100006510,Thomas Fletcher,1,250000,230000,230000,0,,,1,12,35,34,230000,34,48,35,232709,17,41,21,238189,15,31,24,,,230000,230000,230000,0,2709,5480,1,0.0
100006928,Preston Conn,1,230000,230000,230000,5,,,0,7,18,40,230000,40,1,18,220212,37,1,18,215907,34,3,18,,,230000,230000,230000,0,-9788,-4305,-22,-0.0
100007651,Adam Christensen,1,230000,230000,230000,10,,,0,21,20,32,230000,32,8,20,226204,29,15,20,227126,26,25,20,,,230000,230000,230000,0,-3796,922,-12,-0.0
100008787,Cameron Bukowski,1,230000,230000,230000,11,,,0,31,20,31,230000,31,10,20,227044,28,18,20,228224,BYE,BYE,0,,,230000,230000,230000,0,-2956,1180,-11,-0.0
100009124,Angus Hinchey,1,230000,230000,230000,5,,,0,5,18,40,230000,40,1,18,220082,37,1,18,215780,34,3,18,,,230000,230000,230000,0,-9918,-4302,-22,-0.0
100009673,Lewis Symonds,1,230000,230000,230000,17,,,0,15,23,21,230000,21,41,23,234481,17,25,23,242531,14,16,23,17,,230000,230000,230000,0,4481,8050,2,0.0
100011297,Kade Reed,1,230000,230000,230000,6,,,0,80,19,39,230000,39,1,19,222165,36,2,19,220145,32,6,19,6,,230000,230000,230000,0,-7835,-2020,-20,-0.0
100013692,Hugo Peel,1,230000,230000,230000,12,,,0,80,20,29,236117,29,15,20,227601,26,25,20,229035,23,37,20,,12,230000,230000,230000,6117,-8516,1434,-9,-679.67
100019558,Antonio Verhoeven,1,230000,230000,230000,7,,,0,41,18,37,221798,37,1,18,221749,35,2,18,218142,BYE,BYE,0,,,230000,230000,230000,-8202,-49,-3607,-19,431.68
100010807,Matty Nicholson,0,680000,680000,680000,,,,45,0,54,54,680000,54,50,54,680239,54,1,0,680239,97,1,52,,,680000,680000,680000,0,239,0,0,
502214,John Bateman,0,625000,625000,625000,,,,76,0,50,49,625000,49,45,50,625531,49,28,44,620098,54,32,50,,,625000,625000,625000,0,531,-5433,1,0.0
502511,Jeremy Marshall-King,0,620000,620000,620000,,,,36,0,0,49,620000,49,1,0,620000,88,1,52,623128,76,4,51,,,620000,620000,620000,0,0,3128,-49,-0.0
100006243,Dylan Egan,0,616000,616000,616000,,,,4,0,52,49,616000,49,45,52,619464,46,43,42,614537,52,43,48,,,616000,616000,616000,0,3464,-4927,3,0.0
503571,Daniel Saifiti,0,615000,615000,615000,,,,39,0,0,49,615000,49,1,0,615000,88,1,45,611125,81,1,47,,,615000,615000,615000,0,0,-3875,-49,-0.0
500149,Jai Arrow,0,573000,573000,573000,,,,72,0,0,45,573000,45,1,0,573000,82,1,47,574738,71,1,49,,,573000,573000,573000,0,0,1738,-45,-0.0
503524,Jaimin Jolliffe,0,551000,551000,551000,,,,54,0,0,44,551000,44,1,0,551000,78,1,38,545048,74,3,51,,,551000,551000,551000,0,0,-5952,-44,-0.0
500128,Adam Elliott,0,538000,538000,538000,,,,41,0,38,43,535340,43,37,38,533174,46,45,44,531532,44,47,45,,,538000,538000,538000,-2660,-2166,-1642,-5,532.0
